name	rating	review_count	city	category	postal_code	latitude	longitude
Kaya Street Kitchen	4.5	185	Los Angeles	['Asian Fusion', 'asianfusion']	90036	34.0747108	-118.3617477
Langer's	4.5	2392	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries']	90057	34.056277	-118.276793
Corn Man	5.0	99	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands']	90031	34.072693	-118.214319
Guisados	4.5	1423	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican']	90033	34.048126	-118.211479
The Black Sheep	4.5	584	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs']	90013	34.0447654724	-118.249443054
Dino's Chicken and Burgers	4.5	1254	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican']	90006	34.047441	-118.293926
Bronzed Aussie	4.5	312	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee']	90014	34.042825	-118.250665
Ricky's Fish Tacos	4.5	804	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood']	90027	34.097147	-118.287138
Dirt Dog	4.5	126	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog']	90007	34.0285858	-118.2757125
Guisados	4.5	832	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican']	90026	34.0702395145	-118.250448425
Big Al's Pizzeria	5.0	303	Maywood	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq']	90270	33.983607653	-118.18568752
Eggslut	4.0	1342	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch']	90013	34.0508743	-118.2489163
California Gogi Korean Grill	4.5	172	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion']	90007	34.017343	-118.2828057
